userId,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,titles
11,3.543478261,3.555555556,0,0,3.416666667,3.692307692,0,4.166666667,2,0,5,5,0,4.333333333,4.230769231,3.5,3.65625,4.333333333,4,"['Heat (1995)', 'Braveheart (1995)', 'Apollo 13 (1995)', 'Clear and Present Danger (1994)', 'Forrest Gump (1994)', 'Fugitive, The (1993)', 'Searching for Bobby Fischer (1993)', 'Silence of the Lambs, The (1991)', 'Top Gun (1986)', 'Last of the Mohicans, The (1992)']"
12,4,3,3,0,4.305555556,3,0,4.5625,4.25,0,0,0,0,0,4.571428571,4.5,4,4.5,0,"['First Knight (1995)', 'Circle of Friends (1995)', 'Junior (1994)', 'Emma (1996)', 'Shine (1996)', 'Titanic (1997)', ""'burbs, The (1989)"", ""She's All That (1999)"", '10 Things I Hate About You (1999)', 'Never Been Kissed (1999)']"
13,4.2,4.166666667,0,0,3.272727273,3.666666667,0,3.5,3,0,4,0,0,4.5,3.666666667,4.2,3.818181818,3.5,4,"['Seven (a.k.a. Se7en) (1995)', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Matrix, The (1999)', 'Gladiator (2000)', 'Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)', 'Snatch (2000)', 'Event Horizon (1997)', 'Chasing Amy (1997)', 'Titanic (1997)', 'Pitch Black (2000)']"
14,3.333333333,3.444444444,0,3,2.705882353,2.714285714,0,3.708333333,1,0,4,4,4,4.5,3.571428571,3.5,3.461538462,4.25,4.25,"['Seven (a.k.a. Se7en) (1995)', 'Broken Arrow (1996)', 'Braveheart (1995)', 'Legends of the Fall (1994)', 'Nell (1994)', ""What's Eating Gilbert Grape (1993)"", 'Piano, The (1993)', 'Leaving Las Vegas (1995)', 'Twelve Monkeys (a.k.a. 12 Monkeys) (1995)', 'Apollo 13 (1995)']"
15,3.203389831,3.342105263,2.954545455,2.69047619,3.357142857,3.578947368,0,3.740740741,2.90625,0,3.818181818,3.305555556,2.7,3.416666667,3.884615385,3.584745763,3.431818182,4.1,2.5,"['Star Wars: Episode IV - A New Hope (1977)', 'Shawshank Redemption, The (1994)', 'Forrest Gump (1994)', ""Schindler's List (1993)"", 'Terminator 2: Judgment Day (1991)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Aliens (1986)', 'Star Wars: Episode VI - Return of the Jedi (1983)', 'Alien (1979)', 'Back to the Future (1985)']"
16,3.52,3.775,3.958333333,4,3.74,3.75,4,3.729166667,3.9375,4,3.5,4.125,0,3.769230769,3.653846154,3.6875,3.793103448,3.681818182,3,"['Brazil (1985)', 'Taxi Driver (1976)', 'Blade Runner (1982)', 'Fargo (1996)', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)', 'Full Metal Jacket (1987)', 'Chinatown (1974)', 'Memento (2000)', 'Spirited Away (Sen to Chihiro no kamikakushi) (2001)', 'Dark Knight, The (2008)']"
17,4.230769231,4.285714286,4.4,4.214285714,4.157894737,4.25,3.5,4.18627451,4.323529412,3.75,4.166666667,4.166666667,4,4.05,3.928571429,4.4,4.277777778,4.444444444,4.25,"['Star Wars: Episode IV - A New Hope (1977)', 'Pulp Fiction (1994)', 'Shawshank Redemption, The (1994)', 'Forrest Gump (1994)', 'Godfather, The (1972)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)', 'Clockwork Orange, A (1971)', 'Star Wars: Episode VI - Return of the Jedi (1983)', 'Terminator, The (1984)']"
18,3.588516746,3.633802817,3.758064516,3.542857143,3.506756757,3.934782609,3.944444444,3.894495413,3.644230769,3.875,3.3,3.675675676,3.708333333,4.026785714,3.681818182,3.640909091,3.792899408,3.9375,4.181818182,"['Usual Suspects, The (1995)', 'Shawshank Redemption, The (1994)', 'Citizen Kane (1941)', 'Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)', '12 Angry Men (1957)', ""Once Upon a Time in the West (C'era una volta il West) (1968)"", 'Godfather: Part II, The (1974)', 'Casino (1995)', 'Seven (a.k.a. Se7en) (1995)', 'Braveheart (1995)']"
19,2.726666667,2.815286624,2.9375,2.696078431,2.64021164,2.902777778,0,2.609271523,2.833333333,3.333333333,2.267857143,3,2.837837838,2.965517241,2.679104478,2.559055118,2.54679803,3,2.545454545,"['Crow, The (1994)', 'Nightmare Before Christmas, The (1993)', 'Terminator 2: Judgment Day (1991)', 'Batman (1989)', 'Vertigo (1958)', 'Rear Window (1954)', 'Maltese Falcon, The (1941)', 'E.T. the Extra-Terrestrial (1982)', 'Princess Bride, The (1987)', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)']"
20,2.755319149,3.441860465,4.184615385,3.90990991,3.671428571,3.24,3.75,3.809859155,3.864583333,1.5,3.125,4.6,4.472727273,3.21875,3.9875,3.227272727,2.72972973,3.5,1.5,"['Pocahontas (1995)', 'Lion King, The (1994)', 'Nightmare Before Christmas, The (1993)', 'Aladdin (1992)', 'Snow White and the Seven Dwarfs (1937)', 'Beauty and the Beast (1991)', 'James and the Giant Peach (1996)', 'Wallace & Gromit: The Best of Aardman Animation (1996)', 'Wizard of Oz, The (1939)', 'Sword in the Stone, The (1963)']"
21,3.455752212,3.663841808,3.24137931,3.204918033,3.201492537,3.178082192,0,2.95212766,3.087301587,3.5,1.766666667,3.596491228,2.8,3.361111111,3.238461538,3.448113208,3.545081967,3.625,4,"['GoldenEye (1995)', 'Naked Gun 33 1/3: The Final Insult (1994)', 'Back to the Future (1985)', 'Tomorrow Never Dies (1997)', 'Back to the Future Part II (1989)', 'Back to the Future Part III (1990)', 'American Pie (1999)', 'World Is Not Enough, The (1999)', 'Die Another Day (2002)', 'Never Say Never Again (1983)']"
22,2.783333333,2.346153846,2.708333333,2.75,2.487179487,2.533333333,2,2.609589041,1.875,4.5,2.5,1.75,4.5,2.458333333,2.204545455,2.1,2.783333333,2.333333333,4,"['Shawshank Redemption, The (1994)', 'Forrest Gump (1994)', 'Blade Runner (1982)', ""One Flew Over the Cuckoo's Nest (1975)"", 'Midnight Cowboy (1969)', 'Hook (1991)', 'Kill Bill: Vol. 2 (2004)', 'Casino Royale (2006)', 'Muppet Treasure Island (1996)', 'French Connection, The (1971)']"
23,3.537037037,3.388888889,3.8,3.5,3.416666667,3.653846154,3.25,3.642857143,3.821428571,3.954545455,4,3,0,4.068181818,3.333333333,3.911764706,3.723684211,3.75,3.5,"['Blade Runner (1982)', 'Third Man, The (1949)', 'Full Metal Jacket (1987)', 'Stalker (1979)', 'Boot, Das (Boat, The) (1981)', 'Shining, The (1980)', 'Big Sleep, The (1946)', 'Requiem for a Dream (2000)', 'Barton Fink (1991)', 'Samouraï, Le (Godson, The) (1967)']"
24,3.642857143,3.651515152,4.25,4.25,3.59,3.913043478,0,3.6875,3.733333333,0,3.625,3.85,3.5,3.769230769,3.545454545,3.64,3.647058824,3.714285714,0,"['Heat (1995)', 'Shawshank Redemption, The (1994)', 'Forrest Gump (1994)', 'Silence of the Lambs, The (1991)', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Groundhog Day (1993)', 'Green Mile, The (1999)', 'The Count of Monte Cristo (2002)', 'Laputa: Castle in the Sky (Tenkû no shiro Rapyuta) (1986)', 'Old Boy (2003)']"
25,4.833333333,4.75,4.666666667,4.666666667,4.5,5,0,4.958333333,5,0,0,5,0,4.75,5,4.722222222,4.875,5,0,"['Star Wars: Episode IV - A New Hope (1977)', ""Schindler's List (1993)"", 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Saving Private Ryan (1998)', 'Matrix, The (1999)', 'Gladiator (2000)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Lord of the Rings: The Two Towers, The (2002)', 'Lord of the Rings: The Return of the King, The (2003)', 'Dark Knight, The (2008)']"
26,3,2.666666667,0,3,3.2,3.5,0,3.25,0,0,4,3,0,4,3,2,3.428571429,3,0,"['Seven (a.k.a. Se7en) (1995)', 'Die Hard: With a Vengeance (1995)', 'Pulp Fiction (1994)', 'Firm, The (1993)', 'Fugitive, The (1993)', 'Batman (1989)', 'Silence of the Lambs, The (1991)', 'GoldenEye (1995)', 'Babe (1995)', 'Apollo 13 (1995)']"
27,3.642857143,3.644067797,3.363636364,3.244897959,3.4,3.571428571,0,3.8,3.363636364,4,1.5,4,3.923076923,4.333333333,4.130434783,3.375,3.428571429,3.6,3.9,"['Babe (1995)', ""Mr. Holland's Opus (1995)"", 'Forrest Gump (1994)', 'Wallace & Gromit: A Close Shave (1995)', 'Charade (1963)', 'Sound of Music, The (1965)', 'E.T. the Extra-Terrestrial (1982)', 'Wallace & Gromit: The Wrong Trousers (1993)', 'Princess Bride, The (1987)', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)']"
28,3.06377551,3.159663866,3.4,3.125,2.828125,2.97,3.25,2.99859944,3.1,3,2.777777778,3.769230769,3.5,2.928571429,2.890243902,3.182926829,2.931034483,3.333333333,3.291666667,"['Dune (1984)', 'Dune (2000)', 'Once (2006)', 'Avatar (2009)', 'Léon: The Professional (a.k.a. The Professional) (Léon) (1994)', 'Pulp Fiction (1994)', 'Terminator 2: Judgment Day (1991)', 'Godfather, The (1972)', 'Terminator, The (1984)', 'Unforgiven (1992)']"
29,4.016129032,4.166666667,3.5,4.25,3.590909091,4.033333333,4.25,4.21,3.875,5,4.25,4.1,3.166666667,4.357142857,4.333333333,4.111111111,3.976190476,4.318181818,4.444444444,"['2001: A Space Odyssey (1968)', ""It's a Wonderful Life (1946)"", 'Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)', 'Bridge on the River Kwai, The (1957)', 'Patton (1970)', 'Last of the Mohicans, The (1992)', 'L.A. Confidential (1997)', 'Saving Private Ryan (1998)', 'Gladiator (2000)', 'Pianist, The (2002)']"
30,4.72,4.789473684,4.6,4.666666667,4.6,4.857142857,0,5,4.75,0,3,5,0,5,5,4.647058824,4.3,5,0,"['Braveheart (1995)', 'Star Wars: Episode IV - A New Hope (1977)', 'Shawshank Redemption, The (1994)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode VI - Return of the Jedi (1983)', 'Indiana Jones and the Last Crusade (1989)', 'Matrix, The (1999)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Lord of the Rings: The Two Towers, The (2002)']"
31,4.333333333,4,4,4.142857143,3.863636364,3.333333333,5,3.666666667,3.7,0,3.5,0,4.6,5,3.75,3.777777778,4.454545455,5,0,"['Toy Story (1995)', 'Speed (1994)', 'Aladdin (1992)', 'Mission: Impossible (1996)', 'Rock, The (1996)', 'Cable Guy, The (1996)', 'Casablanca (1942)', 'Die Hard (1988)', 'Everyone Says I Love You (1996)', 'Princess Bride, The (1987)']"
32,3.566666667,3.555555556,3,3.5,3.720930233,4.052631579,4,3.977272727,3.583333333,0,3.333333333,0,4,3.625,3.733333333,3.363636364,3.636363636,3.333333333,3,"['Usual Suspects, The (1995)', 'Postman, The (Postino, Il) (1994)', 'Smoke (1995)', 'Star Wars: Episode IV - A New Hope (1977)', 'Like Water for Chocolate (Como agua para chocolate) (1992)', 'Madness of King George, The (1994)', 'Pulp Fiction (1994)', 'Shawshank Redemption, The (1994)', 'Adventures of Priscilla, Queen of the Desert, The (1994)', 'Much Ado About Nothing (1993)']"
33,4,3.9,3.833333333,3.875,3.827586207,3.923076923,0,3.791304348,3.5,5,4.5,3,4,3.666666667,3.854545455,4.142857143,3.633333333,4.125,4,"['Persuasion (1995)', 'Dead Man Walking (1995)', 'Clueless (1995)', 'Usual Suspects, The (1995)', 'Braveheart (1995)', 'Like Water for Chocolate (Como agua para chocolate) (1992)', 'Pulp Fiction (1994)', 'Three Colors: Blue (Trois couleurs: Bleu) (1993)', ""What's Eating Gilbert Grape (1993)"", 'While You Were Sleeping (1995)']"
34,3.735294118,3.807692308,3.642857143,2.75,3.202702703,3.772727273,2,3.25,3.25,0,3.444444444,3.166666667,0,3.071428571,3.1,3.347826087,3.769230769,2.1,3.5,"['GoldenEye (1995)', 'Rush Hour (1998)', 'X-Men (2000)', 'Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)', 'Final Fantasy: The Spirits Within (2001)', 'Spider-Man (2002)', 'X2: X-Men United (2003)', 'Pirates of the Caribbean: The Curse of the Black Pearl (2003)', 'Shaolin Soccer (Siu lam juk kau) (2001)', 'Lost in Translation (2003)']"
35,4,4.2,3,4,3.9,4.75,0,4.222222222,4,0,0,4,3,5,3.555555556,3,4.75,2,3.5,"['Get Shorty (1995)', 'Usual Suspects, The (1995)', 'Indian in the Cupboard, The (1995)', ""Mr. Holland's Opus (1995)"", 'Apollo 13 (1995)', 'Net, The (1995)', 'Little Women (1994)', 'While You Were Sleeping (1995)', 'Dances with Wolves (1990)', 'American President, The (1995)']"
36,2.638888889,2.807692308,0,1.833333333,2.347826087,2.735294118,0,2.555555556,2,3.25,3,0,1.5,3,2.346153846,2.3,2.892857143,2.9,2,"['L.A. Confidential (1997)', 'Waking Ned Devine (a.k.a. Waking Ned) (1998)', 'Never Cry Wolf (1983)', 'American Graffiti (1973)', 'Almost Famous (2000)', 'Shawshank Redemption, The (1994)', 'Sting, The (1973)', 'Great Escape, The (1963)', 'View to a Kill, A (1985)', 'Murder by Numbers (2002)']"
37,3.714285714,3.75,3,3.5,4.125,4.142857143,0,4.125,3.5,0,5,5,3.5,0,3,4.25,4.111111111,4,4,"['Apollo 13 (1995)', 'Die Hard: With a Vengeance (1995)', 'Dumb & Dumber (Dumb and Dumber) (1994)', 'Pulp Fiction (1994)', 'Stargate (1994)', 'Ace Ventura: Pet Detective (1994)', 'Silence of the Lambs, The (1991)', 'Mystery Science Theater 3000: The Movie (1996)', 'Sleepers (1996)', 'Outbreak (1995)']"
38,3.052631579,2.9375,3.2,3.125,3.2,3.333333333,5,3.285714286,3.142857143,0,2,3.333333333,3.2,4.333333333,3.111111111,2.333333333,3.388888889,3.714285714,2.6,"['American President, The (1995)', 'Usual Suspects, The (1995)', 'Braveheart (1995)', 'Rob Roy (1995)', 'Clerks (1994)', 'Hoop Dreams (1994)', 'Shawshank Redemption, The (1994)', 'Four Weddings and a Funeral (1994)', 'Fugitive, The (1993)', 'Much Ado About Nothing (1993)']"
39,4.25,3.875,3.291666667,3.130434783,4,4.4,0,4.114285714,3.75,3.5,4.461538462,4,3.125,3.75,3.6,4,4.217391304,4,4,"['Usual Suspects, The (1995)', 'Star Wars: Episode IV - A New Hope (1977)', 'Pulp Fiction (1994)', 'Silence of the Lambs, The (1991)', 'Fargo (1996)', 'Reservoir Dogs (1992)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Princess Bride, The (1987)', 'Aliens (1986)', 'Star Wars: Episode VI - Return of the Jedi (1983)']"
40,3.52173913,3.47826087,3.625,3.722222222,3.634146341,4,0,4.2,3.75,0,2.666666667,4.333333333,3.428571429,4.333333333,3.681818182,3,3.866666667,4,4,"['Toy Story (1995)', 'Sense and Sensibility (1995)', 'Babe (1995)', ""Mr. Holland's Opus (1995)"", ""Antonia's Line (Antonia) (1995)"", 'Taxi Driver (1976)', 'Apollo 13 (1995)', 'Desperado (1995)', 'To Wong Foo, Thanks for Everything! Julie Newmar (1995)', 'Clerks (1994)']"
41,2.525641026,2.681818182,3.666666667,3.222222222,3.403409091,3.384615385,1.5,3.434615385,2.75,4.25,2.958333333,1.5,3,3.3,3.316666667,2.3,3.267857143,2.923076923,4,"['Pulp Fiction (1994)', 'Clockwork Orange, A (1971)', 'Shining, The (1980)', 'Stand by Me (1986)', 'Titanic (1997)', ""Rosemary's Baby (1968)"", 'Eyes Wide Shut (1999)', 'Meet the Parents (2000)', 'Cast Away (2000)', 'Zoolander (2001)']"
42,3.4,3.513888889,4,2.928571429,3.412322275,3.746478873,4.333333333,3.81871345,3.590909091,3.5,3,4.5,3.857142857,3.962962963,3.640449438,3.25,3.577586207,3.80952381,3.916666667,"['GoldenEye (1995)', 'American President, The (1995)', 'Casino (1995)', 'Copycat (1995)', 'Usual Suspects, The (1995)', 'Apollo 13 (1995)', 'Clerks (1994)', 'Interview with the Vampire: The Vampire Chronicles (1994)', 'Star Wars: Episode IV - A New Hope (1977)', 'Natural Born Killers (1994)']"
43,4.322580645,4.676470588,5,4.9375,4.522727273,4.25,0,4.428571429,4.882352941,0,4.6,5,5,4.5,4.52,4.666666667,4.310344828,4,4,"['Toy Story (1995)', 'Grumpier Old Men (1995)', 'Father of the Bride Part II (1995)', 'Sabrina (1995)', 'Tom and Huck (1995)', 'Assassins (1995)', 'City of Lost Children, The (Cité des enfants perdus, La) (1995)', 'Babe (1995)', 'Pocahontas (1995)', 'Home for the Holidays (1995)']"
44,3.454545455,3.45,2.75,2.333333333,3.391304348,4,0,3.583333333,2.333333333,0,2.333333333,0,3,3,3.375,3.111111111,3.176470588,0,0,"['Rumble in the Bronx (Hont faan kui) (1995)', 'Star Wars: Episode IV - A New Hope (1977)', 'Rock, The (1996)', 'Barb Wire (1996)', 'Star Wars: Episode VI - Return of the Jedi (1983)', 'First Strike (Police Story 4: First Strike) (Ging chaat goo si 4: Ji gaan daan yam mo) (1996)', 'Private Parts (1997)', 'Chasing Amy (1997)', 'Four Rooms (1995)', 'Dead Man Walking (1995)']"
45,4.009433962,4.015151515,4.435483871,3.861111111,3.685520362,4.196078431,4,4.037190083,3.755555556,0,4.03125,4.714285714,4.296296296,4.210526316,3.920289855,3.72,4.017647059,4.428571429,3.666666667,"['Usual Suspects, The (1995)', 'Happy Gilmore (1996)', 'Braveheart (1995)', 'Apollo 13 (1995)', 'Die Hard: With a Vengeance (1995)', 'Billy Madison (1995)', 'Clerks (1994)', 'Dumb & Dumber (Dumb and Dumber) (1994)', 'Star Wars: Episode IV - A New Hope (1977)', 'Pulp Fiction (1994)']"
46,3.888888889,4.076923077,5,5,3.916666667,4,0,4,4.666666667,0,4.5,5,5,4.333333333,4.5,4,3.944444444,4.333333333,4.333333333,"['Toy Story (1995)', 'Usual Suspects, The (1995)', 'Braveheart (1995)', 'Judge Dredd (1995)', 'Legends of the Fall (1994)', 'Outbreak (1995)', 'While You Were Sleeping (1995)', 'Lion King, The (1994)', 'True Lies (1994)', 'Firm, The (1993)']"
47,2.8125,2.95,0,3,2.471428571,3.275,3.285714286,3.224299065,2.5,0,2.083333333,2.916666667,2.928571429,2.6875,2.896551724,2.85,2.840909091,3.5,3.5,"['Green Mile, The (1999)', 'Half Nelson (2006)', 'Reign Over Me (2007)', 'Whiplash (2014)', 'I Origins (2014)', 'Forrest Gump (1994)', ""Jason's Lyric (1994)"", 'Crash (2004)', 'Limitless (2011)', 'Shawshank Redemption, The (1994)']"
48,4.022727273,4.038461538,4.375,4.375,4.1875,4.25,0,4,4.5,0,4.333333333,4.25,4.25,4.5,4,4.166666667,3.966666667,0,0,"['Men in Black (a.k.a. MIB) (1997)', 'Indiana Jones and the Temple of Doom (1984)', 'Matrix, The (1999)', 'Monsters, Inc. (2001)', 'Star Trek: First Contact (1996)', 'Contact (1997)', 'Game, The (1997)', 'Gattaca (1997)', 'Alien: Resurrection (1997)', 'Little Mermaid, The (1989)']"
49,4.357142857,4.25,4,4.1,4,4.166666667,0,4.35,0,0,4.25,4.333333333,0,4.25,4,4.333333333,4.25,4.25,0,"[""Schindler's List (1993)"", 'E.T. the Extra-Terrestrial (1982)', 'Aliens (1986)', 'Saving Private Ryan (1998)', 'Matrix, The (1999)', 'Cast Away (2000)', 'Pursuit of Happyness, The (2006)', 'Inception (2010)', 'Interstellar (2014)', 'The Revenant (2015)']"
50,2.450617284,2.475,2.622641509,2.261904762,2.590909091,2.933333333,3.142857143,3.03968254,2.829545455,3.5,2.625,2.068181818,2.566666667,3.225,2.818181818,2.55,2.824561404,3.454545455,3.166666667,"['2001: A Space Odyssey (1968)', 'Lawrence of Arabia (1962)', 'Apocalypse Now (1979)', '8 1/2 (8½) (1963)', 'Taxi Driver (1976)', 'Pulp Fiction (1994)', 'Blade Runner (1982)', 'Fargo (1996)', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)', 'Godfather, The (1972)']"
51,3.478021978,3.591549296,3.058823529,3.133333333,3.804878049,3.846153846,5,4.066666667,3.875,4.166666667,3.759615385,3.25,3.607142857,3.695652174,3.970588235,3.774193548,3.459770115,4.272727273,3.555555556,"['From Dusk Till Dawn (1996)', 'Screamers (1995)', 'Taxi Driver (1976)', 'French Kiss (1995)', 'Heavenly Creatures (1994)', 'Star Wars: Episode IV - A New Hope (1977)', 'Much Ado About Nothing (1993)', 'Nightmare Before Christmas, The (1993)', 'Terminator 2: Judgment Day (1991)', 'Silence of the Lambs, The (1991)']"
52,4.534246575,4.58974359,4.464285714,4.461538462,4.428571429,4.625,4.5,4.421875,4.545454545,0,4.333333333,4.5,4.666666667,4.666666667,4.388888889,4.592592593,4.578431373,4.375,4,"['Shawshank Redemption, The (1994)', 'Forrest Gump (1994)', 'Lion King, The (1994)', 'Aladdin (1992)', 'Rock, The (1996)', 'Star Wars: Episode VI - Return of the Jedi (1983)', 'Good Will Hunting (1997)', ""There's Something About Mary (1998)"", 'Matrix, The (1999)', 'Spy Game (2001)']"
53,5,5,0,0,5,5,0,5,0,5,5,0,5,5,5,5,5,5,0,"['To Wong Foo, Thanks for Everything! Julie Newmar (1995)', 'Immortal Beloved (1994)', 'When a Man Loves a Woman (1994)', 'Airheads (1994)', 'Kalifornia (1993)', 'Arrival, The (1996)', 'Island of Dr. Moreau, The (1996)', 'Roman Holiday (1953)', 'Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)', 'Ghost and the Darkness, The (1996)']"
54,2.857142857,3,3,2.8,2.923076923,3.125,0,3.133333333,3,0,4,3,3,3,3.166666667,3,3,3.333333333,3,"['Shawshank Redemption, The (1994)', 'Forrest Gump (1994)', 'Silence of the Lambs, The (1991)', 'Toy Story (1995)', 'Sense and Sensibility (1995)', 'Get Shorty (1995)', 'Twelve Monkeys (a.k.a. 12 Monkeys) (1995)', 'Seven (a.k.a. Se7en) (1995)', 'Usual Suspects, The (1995)', 'Braveheart (1995)']"
